symbol-id;symbol-en;symbol-fi;category
451;chest_female;rintakehä;Terveys kehonosat
452;chest_male;rintakehä;Terveys kehonosat
453;chest_of_drawers;lipasto;Rakennukset huonekalut
454;chestnuts;kastanja;Ruoka pähkinät
455;chewing_gum;purukumi;Ruoka jälkiruuat ja herkut
456;chewy_tube;purulelu;Ruoka ruokailu
457;chick;tipu;Eläimet linnut
458;chicken;kana;Ruoka siipikarja
459;chicken_breast;kanan rintapala;Ruoka siipikarja
460;chicken_deep_fried;friteerattu kana;Ruoka siipikarja
461;chicken_house;kanala;Eläimet elinympäristö
462;chicken_leg;kanankoipi;Ruoka siipikarja
463;chicken_live;kana;Eläimet linnut
464;chicken_nuggets;kananugetit;Ruoka siipikarja
465;chicken_pieces;kananliha;Ruoka siipikarja
466;chicken_run;kananjuoksu;Eläimet elinympäristö
467;childrens_tv;lasten kanava;Tekniikka TV
468;chilli_pepper;chili;Ruoka vihannekset ja salaatit
469;chimney;savupiippu;Rakennukset rakenne
470;chimpanzee;simpanssi;Eläimet nisäkkäät
471;chin;leuka;Terveys kehonosat
472;chinese_cabbage;kiinankaali;Ruoka vihannekset ja salaatit
473;chinese_food;kiinalainen ruoka;Ruoka annokset
474;chip_and_pin_device;maksupääte;Talous
475;chipmunk;maaorava;Eläimet nisäkkäät
476;chipmunk_2;maaorava;Eläimet nisäkkäät
477;chipmunk_3;maaorava;Eläimet nisäkkäät
478;chips;ranskalaiset perunat;Ruoka vihannekset ja salaatit
479;chips_packet;ranskalaiset perunat;Ruoka vihannekset ja salaatit
480;chisel;taltta;Työkalut työpaja
481;chocolate;suklaa;Ruoka jälkiruuat ja herkut
482;chocolate_bar;suklaalevy;Ruoka jälkiruuat ja herkut
483;chocolate_box;konvehtit;Ruoka jälkiruuat ja herkut
484;chocolate_chips;suklaamuru;Ruoka jälkiruuat ja herkut
485;chocolate_egg;suklaamuna;Ruoka jälkiruuat ja herkut
486;chocolate_log;kääretorttu;Ruoka viljatuotteet ja leivonta
487;chop_,_to;pilkkoa;Ruoka ruuanlaitto
488;chopping_board;leikkuulauta;Ruoka välineet
489;Christian;kristitty;Uskonto yleiset
490;Christmas;joulu;Uskonto juhlapäivä
491;Christmas_bauble;kuusenkoriste;Juhlat välineet
492;Christmas_bell;joulukello;Juhlat välineet
493;Christmas_cake;joulukakku;Ruoka viljatuotteet ja leivonta
494;Christmas_Day;joulupäivä;Uskonto juhlapäivä
495;Christmas_decorations;joulukoristeet;Juhlat välineet
496;Christmas_Eve;jouluaatto;Uskonto juhlapäivä
497;Christmas_lights;jouluvalot;Juhlat välineet
498;Christmas_pudding;jouluvanukas;Ruoka viljatuotteet ja leivonta
499;Christmas_sock;joulusukka;Juhlat välineet
500;Christmas_tree;joulukuusi;Juhlat välineet
501;Christmas_wreath;jouluseppele;Juhlat välineet
502;church;kirkko;Rakennukset julkiset
503;cigarette;tupakka;Vapaa-aika muut
504;circle;ympyrä;Kuvaileva muoto
505;circle_time;ryhmätyö;Työ ja koulu
506;circuit;piiri;Tekniikka muut
507;clamp;puristin;Työkalut työpaja
508;class_room;luokkahuone;Rakennukset koulu
509;claw;kynsi;Eläimet ominaisuudet
510;clay;savi;Tiede
511;clean_dishes;tiskata;Kuvaileva tila
512;clean_hands;pestä kädet;Terveys hoitotoimet
513;clean_room;puhdas huone;Kuvaileva tila
514;clean_shoes_,_to;puhdistaa kengät;Rakennukset kotityöt
515;clean_window_,_to;pestä ikkuna;Rakennukset kotityöt
516;cleaner_1a;siivooja;Ihmiset ammatit
517;cleaner_1b;siivooja;Ihmiset ammatit
518;cleaner_2a;siivooja;Ihmiset ammatit
519;cleaner_2b;siivooja;Ihmiset ammatit
520;cleaner_spray;pesuaine;Rakennukset tarvikkeet
521;cleaning_box;siivousvälineet;Rakennukset tarvikkeet
522;climbing_rock;vuorikiipeily;Urheilu urheiluvälineet
523;climbing_wall;kiipeilyseinä;Urheilu urheiluvälineet
524;clingfilm;talouskelmu;Ruoka välineet
525;clip_nails_,_to;leikata kynnet;Terveys hoitotoimet
526;clipboard;kirjoituslevy;Taide
527;clock;kello;Tekniikka muut
528;clock_radio;kelloradio;Tekniikka muut
529;close_to;lähellä;Kuvaileva sijainti
530;closed;suljettu;Kuvaileva sijainti
531;closed_shop;suljettu kauppa;Rakennukset kauppa
532;clothes_extra_large;erittäin isot vaatteet;Kuvaileva määrä
533;clothes_female;naisten vaatteet;Vaatteet muut
534;clothes_generic;vaatteet;Vaatteet muut
535;clothes_hanger;henkari;Rakennukset tarvikkeet
536;clothes_large;isot vaatteet;Kuvaileva määrä
537;clothes_male;miesten vaatteet;Vaatteet muut
538;clothes_medium;keskikokoiset vaatteet;Kuvaileva määrä
539;clothes_neat;siistit vaatteet;Kuvaileva tila
540;clothes_peg;pyykkipoika;Rakennukset tarvikkeet
541;clothes_small;pienet vaatteet;Kuvaileva määrä
542;cloudy;pilvinen;Ympäristö sää
